group,tensors,numel_sum,A_l2_delta_sum,B_l2_delta_sum,A_l2_ratio_mean,B_l2_ratio_mean,B_over_A_delta
transformer_blocks.16.attn,28,28330240,461.04506370425224,443.52115792036057,0.6582396284544042,0.7283511961411152,0.9619909046567002
transformer_blocks.19.attn,28,28330240,469.1697858721018,432.5108585059643,0.6892053969204426,0.650767427736095,0.9218642622137396
transformer_blocks.17.attn,28,28330240,472.84739249944687,432.0153097808361,0.6843503043055534,0.6417702620715967,0.9136463828154462
transformer_blocks.15.attn,28,28330240,0.021743287725257687,431.6133362352848,4.427015249218259e-05,0.6803502388564604,19850.417364162404
transformer_blocks.21.attn,28,28330240,478.18562507629395,427.10844653844833,0.8049102973725114,0.7252410767333848,0.8931854579909272
transformer_blocks.13.attn,28,28330240,0.02182150868429744,425.8424479365349,4.459855076025373e-05,0.7551363729206579,19514.803219057554
transformer_blocks.14.attn,28,28330240,0.021710374723625137,425.04062689840794,4.460064935431417e-05,0.6563566093599158,19577.765574737077
transformer_blocks.12.attn,28,28330240,0.02148950036644237,423.7527792453766,4.467949578871152e-05,0.6898582342213818,19719.06149513753
transformer_blocks.18.attn,28,28330240,463.3832835108042,423.1019857227802,0.7333678935787508,0.71031422114798,0.9130713186655434
transformer_blocks.20.attn,28,28330240,459.84469839930534,420.4849619567394,0.7321038596065981,0.7011477165589375,0.914406458137767
transformer_blocks.11.attn,28,28330240,0.02158977148064878,420.0639801323414,4.441159762791358e-05,0.6359668999378171,19456.620024412678
transformer_blocks.10.attn,28,28330240,0.02156184346677037,416.78885278105736,4.384808718376527e-05,0.6302992390202624,19329.926655114334
transformer_blocks.9.attn,28,28330240,0.02148048828530591,411.0492345392704,4.3937410477415794e-05,0.5731020171993545,19135.935322351106
transformer_blocks.7.attn,28,28330240,0.021457280196045758,409.7547048330307,4.417985214136674e-05,0.5539000758102962,19096.30209747859
transformer_blocks.8.attn,28,28330240,0.021225552743999287,409.4959783554077,4.487916417669372e-05,0.5641903967729637,19292.59432133679
transformer_blocks.6.attn,28,28330240,0.02180242039321456,404.94717648625374,4.4206236322809544e-05,0.5318908127290862,18573.496390048032
transformer_blocks.22.attn,28,28330240,457.6175852268934,403.2362103462219,0.9232469545677304,0.7346174235322646,0.8811641496388096
transformer_blocks.5.attn,28,28330240,0.021645122491463553,394.8090534210205,4.431009594035069e-05,0.5103456705276456,18240.093284687395
transformer_blocks.4.attn,28,28330240,0.02178603844367899,390.13493183255196,4.3955928828966406e-05,0.5030406026967934,17907.566482232032
transformer_blocks.3.attn,28,28330240,0.021334754390409216,368.66756439208984,4.404135428818076e-05,0.5431403086653778,17280.141014444478
transformer_blocks.2.attn,28,28330240,0.02043746141862357,347.01023226976395,4.565676187797051e-05,0.519783787961517,16979.12598560665
transformer_blocks.23.attn,26,25969408,369.1636497566942,322.44073145487346,0.6988631286300145,0.6869704892429022,0.8734357558426582
transformer_blocks.1.attn,28,28330240,0.017944367122254334,303.6134445518255,4.511476696019859e-05,0.6350625545850822,16919.707586586825
transformer_blocks.0.attn,28,28330240,0.020593952085619094,301.5615810751915,4.425439900452537e-05,0.609208021312952,14643.210774056863
transformer_blocks.12.attn2,28,28330240,0.023601396263984498,272.1185146868229,4.518999984221799e-05,0.5904809071549347,11529.76339330158
transformer_blocks.7.attn2,28,28330240,0.024719202367123216,247.35695588588715,4.391862967167981e-05,0.5006031202418464,10006.672230042004
transformer_blocks.11.attn2,28,28330240,0.02516829751766636,244.75702327489853,4.514535196774107e-05,0.5070959078148007,9724.814445370079
transformer_blocks.8.attn2,28,28330240,0.024562179125496186,244.00750988721848,4.436594982897597e-05,0.49434510299137663,9934.277762187558
transformer_blocks.5.attn2,28,28330240,0.024732938138186,238.92795711755753,4.443255290555369e-05,0.5528689995408058,9660.31434571085
transformer_blocks.10.attn2,28,28330240,0.024323624042153824,223.80299520492554,4.3784580027152386e-05,0.4297953354460852,9201.054695133622
transformer_blocks.3.attn2,28,28330240,0.020691527060989756,223.3597885966301,4.4890058883798444e-05,0.4561659927879061,10794.746464456994
transformer_blocks.6.attn2,28,28330240,0.024213115117163397,219.4019546508789,4.461580205575696e-05,0.5620010053472859,9061.28573627006
transformer_blocks.4.attn2,28,28330240,0.02390059038225445,215.89535918831825,4.495861555499557e-05,0.48341364679591997,9033.055490528039
transformer_blocks.9.attn2,28,28330240,0.02524888634434319,196.71975845098495,4.5826605076269645e-05,0.46376601899308817,7791.225155848001
transformer_blocks.1.attn2,28,28330240,0.021102964994497597,187.90471649169922,4.345932601219309e-05,0.5850236761782851,8904.18557448157
transformer_blocks.21.ff,6,18943488,0.0034115136368200183,172.04652386903763,6.720832849775131e-05,0.5870941480000814,50431.140582799075
transformer_blocks.19.ff,6,18943488,0.0034320972627028823,171.03033459186554,6.860543605095397e-05,0.584366629521052,49832.601307849094
transformer_blocks.20.ff,6,18943488,0.0033073697122745216,170.74318718910217,7.015952966564025e-05,0.5586089839537939,51625.068254027996
transformer_blocks.16.ff,6,18943488,0.0033766277483664453,169.839598685503,6.847876647952944e-05,0.5524538407723109,50298.58524303424
transformer_blocks.10.ff,6,18943488,0.0019981085788458586,169.7674400806427,6.851911651513849e-05,0.559489314754804,84964.07141885112
transformer_blocks.22.ff,6,18943488,0.003374350315425545,169.7323585152626,6.824347898752119e-05,0.5786143243312836,50300.7520259664
transformer_blocks.15.ff,6,18943488,0.00304207083536312,169.36509677767754,6.990914941222097e-05,0.5739063322544098,55674.27778248524
transformer_blocks.11.ff,6,18943488,0.002440167067106813,169.0984072983265,6.919013443014894e-05,0.5327302267154058,69297.8810789051
transformer_blocks.13.ff,6,18943488,0.0030162077164277434,168.78429505228996,6.870669312775135e-05,0.5305333187182745,55959.108544497445
transformer_blocks.14.ff,6,18943488,0.0028083586366847157,168.74355375766754,6.902372600355496e-05,0.5728424489498138,60086.18397000183
transformer_blocks.12.ff,6,18943488,0.0026777954190038145,168.36231064796448,6.893955287523568e-05,0.5357254594564438,62873.47770866105
transformer_blocks.17.ff,6,18943488,0.0037119071930646896,167.1298404633999,7.23925525865828e-05,0.5542867680390676,45025.32841624898
transformer_blocks.18.ff,6,18943488,0.002767038473393768,166.97923356294632,7.009229011600837e-05,0.6099445472160975,60345.83006639613
transformer_blocks.9.ff,6,18943488,0.002256578824017197,166.96675658226013,6.818415567977354e-05,0.5056186467409134,73991.10313861414
transformer_blocks.8.ff,6,18943488,0.002799572655931115,166.62215599417686,6.965787421601514e-05,0.49910545845826465,59516.996489324076
transformer_blocks.7.ff,6,18943488,0.002953821560367942,165.95726361870766,6.812035523277397e-05,0.47981442014376324,56183.9163845264
transformer_blocks.6.ff,6,18943488,0.0033857820089906454,165.7402746975422,7.017757161520422e-05,0.4811473960677783,48951.84456898928
transformer_blocks.5.ff,6,18943488,0.0031921486370265484,165.46150514483452,6.977357891931509e-05,0.489262027045091,51833.89744881247
transformer_blocks.4.ff,6,18943488,0.00348868640139699,163.39326998591423,6.993937616546948e-05,0.5216783930857977,46835.18411791062
transformer_blocks.3.ff,6,18943488,0.0035764097119681537,161.45310562849045,6.929694306260596e-05,0.5787903616825739,45143.90648338118
transformer_blocks.2.ff,6,18943488,0.0034777296241372824,156.76132345199585,6.891497954105337e-05,0.6736014286677042,45075.765039039725
transformer_blocks.13.ff_context,4,18882048,0.0,152.7617551088333,0.0,0.41032442450523376,152761755108833.3
transformer_blocks.12.ff_context,4,18882048,0.0,152.08336520195007,0.0,0.40766286104917526,152083365201950.06
transformer_blocks.2.attn2,28,28330240,0.019916013075999217,151.12860441207886,4.471975262276828e-05,0.4852371034877641,7588.296102627871
transformer_blocks.16.ff_context,4,18882048,0.0,148.5577143728733,0.0,0.4877788722515106,148557714372873.3
transformer_blocks.10.ff_context,4,18882048,0.0,148.2535336315632,0.0,0.3863927833735943,148253533631563.2
transformer_blocks.14.ff_context,4,18882048,0.0,147.2827839255333,0.0,0.44463060051202774,147282783925533.3
transformer_blocks.11.ff_context,4,18882048,0.0,146.7827145755291,0.0,0.37937553972005844,146782714575529.1
transformer_blocks.8.ff_context,4,18882048,0.0,145.23096153140068,0.0,0.3755389489233494,145230961531400.7
transformer_blocks.0.attn2,28,28330240,0.020204703159834025,143.79055801033974,4.404297474788369e-05,0.5019783042371273,7116.687479431608
transformer_blocks.23.ff,6,18943488,0.002082458173390478,139.29333192110062,6.9811392071036e-05,0.8822397987047831,66888.89776231442
transformer_blocks.9.ff_context,4,18882048,0.0,135.81378090381622,0.0,0.3538639694452286,135813780903816.22
transformer_blocks.7.ff_context,4,18882048,0.0,134.13529005646706,0.0,0.36606302857398987,134135290056467.06
transformer_blocks.0.ff_context,4,18882048,0.0,131.52038437128067,0.0,0.462278313934803,131520384371280.67
transformer_blocks.6.ff_context,4,18882048,0.0,131.31055235862732,0.0,0.3537779785692692,131310552358627.33
transformer_blocks.1.ff,6,18943488,0.003105219773715362,129.8464471101761,6.96289207553491e-05,0.7218079815308253,41815.54174279931
transformer_blocks.19.ff_context,4,18882048,0.0,127.65978795289993,0.0,0.683457538485527,127659787952899.94
transformer_blocks.17.ff_context,4,18882048,0.0,124.84106943011284,0.0,0.7467874363064766,124841069430112.84
transformer_blocks.5.ff_context,4,18882048,0.0,123.12713512778282,0.0,0.3390827104449272,123127135127782.83
transformer_blocks.2.ff_context,4,18882048,0.0,121.13911166787148,0.0,0.3604412078857422,121139111667871.48
transformer_blocks.4.ff_context,4,18882048,0.0,118.3063685297966,0.0,0.3380710408091545,118306368529796.61
transformer_blocks.3.ff_context,4,18882048,0.0,105.64271584153175,0.0,0.3313542455434799,105642715841531.75
transformer_blocks.0.ff,6,18943488,0.0017463060503359884,85.21993815898895,6.79849423856164e-05,0.7244585305452347,48800.11616165022
transformer_blocks.1.ff_context,4,18882048,0.0,72.72831284999847,0.0,0.33691906183958054,72728312849998.47
transformer_blocks.22.norm1,2,14164992,0.0,41.345070123672485,0.0,0.31284959614276886,41345070123672.484
transformer_blocks.15.ff_context,4,18882048,0.0,40.61863984167576,0.0,0.5554433092474937,40618639841675.76
transformer_blocks.18.ff_context,4,18882048,0.0,39.74959523975849,0.0,0.6496908515691757,39749595239758.49
transformer_blocks.1.norm1,2,21247488,0.0,37.74027967453003,0.0,0.6807666122913361,37740279674530.03
transformer_blocks.23.norm1,2,14164992,0.0,35.33938527107239,0.0,0.3970237448811531,35339385271072.39
transformer_blocks.0.norm1,2,21247488,0.0,34.93838119506836,0.0,0.5862848460674286,34938381195068.36
transformer_blocks.21.norm1,2,14164992,0.0,34.913071632385254,0.0,0.26817212626338005,34913071632385.254
transformer_blocks.3.norm1,2,21247488,0.0,34.47438144683838,0.0,0.5238517820835114,34474381446838.38
transformer_blocks.2.norm1,2,21247488,0.0,33.28289175033569,0.0,0.5347112119197845,33282891750335.695
transformer_blocks.4.norm1,2,21247488,0.0,32.33822858333588,0.0,0.509773388504982,32338228583335.88
transformer_blocks.12.norm1,2,21247488,0.0,32.313212394714355,0.0,0.45245376229286194,32313212394714.355
transformer_blocks.20.norm1,2,14164992,0.0,31.896942615509033,0.0,0.2937730997800827,31896942615509.035
transformer_blocks.5.norm1,2,21247488,0.0,31.372053384780884,0.0,0.49218329787254333,31372053384780.883
transformer_blocks.8.norm1,2,21247488,0.0,30.935498595237732,0.0,0.4842505604028702,30935498595237.734
transformer_blocks.7.norm1,2,21247488,0.0,30.912680864334106,0.0,0.49462567269802094,30912680864334.105
transformer_blocks.6.norm1,2,21247488,0.0,30.782358527183533,0.0,0.5024430900812149,30782358527183.535
transformer_blocks.19.norm1,2,14164992,0.0,30.30665123462677,0.0,0.3130020946264267,30306651234626.77
transformer_blocks.11.norm1,2,21247488,0.0,30.150285840034485,0.0,0.46104590594768524,30150285840034.484
transformer_blocks.0.norm1_context,2,14164992,0.0,30.03853464126587,0.0,0.3748463988304138,30038534641265.87
transformer_blocks.10.norm1,2,21247488,0.0,29.24001407623291,0.0,0.4562569856643677,29240014076232.91
transformer_blocks.17.norm1,2,14164992,0.0,28.947388529777527,0.0,0.3543346896767616,28947388529777.527
transformer_blocks.9.norm1,2,21247488,0.0,28.445488810539246,0.0,0.4416864663362503,28445488810539.246
transformer_blocks.13.norm1,2,14164992,0.0,28.221951723098755,0.0,0.4275267720222473,28221951723098.754
transformer_blocks.16.norm1,2,14164992,0.0,27.933898448944092,0.0,0.3938208222389221,27933898448944.094
transformer_blocks.14.norm1,2,14164992,0.0,27.883092045783997,0.0,0.4022508040070534,27883092045783.996
transformer_blocks.18.norm1,2,14164992,0.0,27.602354884147644,0.0,0.3283310756087303,27602354884147.645
transformer_blocks.15.norm1,2,14164992,0.0,26.775700092315674,0.0,0.4134281277656555,26775700092315.676
transformer_blocks.14.norm1_context,2,14164992,0.0,26.021277904510498,0.0,0.2370833232998848,26021277904510.5
transformer_blocks.16.norm1_context,2,14164992,0.0,25.919218063354492,0.0,0.19555282592773438,25919218063354.492
transformer_blocks.13.norm1_context,2,14164992,0.0,24.19452667236328,0.0,0.19846586883068085,24194526672363.28
transformer_blocks.12.norm1_context,2,14164992,0.0,23.740391492843628,0.0,0.20847253501415253,23740391492843.63
transformer_blocks.22.ff_context,4,18882048,0.0,23.365207821130753,0.0,0.3183702826499939,23365207821130.754
transformer_blocks.20.ff_context,4,18882048,0.0,23.316611871123314,0.0,0.4078906551003456,23316611871123.312
transformer_blocks.9.norm1_context,2,14164992,0.0,22.953547477722168,0.0,0.28832609951496124,22953547477722.168
transformer_blocks.2.norm1_context,2,14164992,0.0,22.707783937454224,0.0,0.3744371384382248,22707783937454.223
transformer_blocks.11.norm1_context,2,14164992,0.0,22.489076852798462,0.0,0.21765154600143433,22489076852798.46
transformer_blocks.6.norm1_context,2,14164992,0.0,22.465428113937378,0.0,0.3396821618080139,22465428113937.38
transformer_blocks.7.norm1_context,2,14164992,0.0,22.397379636764526,0.0,0.30911538004875183,22397379636764.527
transformer_blocks.1.norm1_context,2,14164992,0.0,22.39129614830017,0.0,0.3078831434249878,22391296148300.17
transformer_blocks.5.norm1_context,2,14164992,0.0,22.085575342178345,0.0,0.35335540771484375,22085575342178.344
transformer_blocks.4.norm1_context,2,14164992,0.0,21.88358783721924,0.0,0.33537428081035614,21883587837219.24
transformer_blocks.10.norm1_context,2,14164992,0.0,21.775080919265747,0.0,0.23464956134557724,21775080919265.746
transformer_blocks.19.norm1_context,2,14164992,0.0,21.668834924697876,0.0,0.20835363864898682,21668834924697.875
transformer_blocks.8.norm1_context,2,14164992,0.0,21.403984785079956,0.0,0.25198090076446533,21403984785079.957
transformer_blocks.17.norm1_context,2,14164992,0.0,20.743947982788086,0.0,0.24211715161800385,20743947982788.086
transformer_blocks.3.norm1_context,2,14164992,0.0,20.735284566879272,0.0,0.3350570350885391,20735284566879.273
transformer_blocks.21.ff_context,4,18882048,0.0,20.301415495574474,0.0,0.3517626002430916,20301415495574.477
transformer_blocks.15.norm1_context,2,14164992,0.0,19.638457775115967,0.0,0.24491086602210999,19638457775115.97
transformer_blocks.18.norm1_context,2,14164992,0.0,16.156043529510498,0.0,0.223633773624897,16156043529510.498
transformer_blocks.20.norm1_context,2,14164992,0.0,14.72381043434143,0.0,0.2519376650452614,14723810434341.432
transformer_blocks.22.norm1_context,2,14164992,0.0,13.816010355949402,0.0,0.38447830080986023,13816010355949.402
transformer_blocks.21.norm1_context,2,14164992,0.0,13.114166259765625,0.0,0.2960226237773895,13114166259765.625
transformer_blocks.23.norm1_context,2,4721664,0.0,10.344377934932709,0.0,0.4608158767223358,10344377934932.709
proj_out.bias,1,64,0.0,0.0,0.0,0.0,0.0
norm_out.linear.bias,1,3072,0.0,0.0,0.0,0.0,0.0
norm_out.linear.weight,1,4718592,0.0,0.0,0.0,0.0,0.0
pos_embed.pos_embed,1,226492416,0.0,0.0,0.0,0.0,0.0
pos_embed.proj.bias,1,1536,0.0,0.0,0.0,0.0,0.0
pos_embed.proj.weight,1,98304,0.0,0.0,0.0,0.0,0.0
time_text_embed.text_embedder.linear_1,2,3147264,0.0,0.0,0.0,0.0,0.0
proj_out.weight,1,98304,0.0,0.0,0.0,0.0,0.0
time_text_embed.text_embedder.linear_2,2,2360832,0.0,0.0,0.0,0.0,0.0
time_text_embed.timestep_embedder.linear_1,2,394752,0.0,0.0,0.0,0.0,0.0
time_text_embed.timestep_embedder.linear_2,2,2360832,0.0,0.0,0.0,0.0,0.0
context_embedder.weight,1,6291456,0.0,0.0,0.0,0.0,0.0
context_embedder.bias,1,1536,0.0,0.0,0.0,0.0,0.0
