group,tensors,numel_sum,B_l2_delta_sum,B_l2_ratio_mean
transformer_blocks.16.attn,28,28330240,443.52115792036057,0.7283511961411152
transformer_blocks.19.attn,28,28330240,432.5108585059643,0.650767427736095
transformer_blocks.17.attn,28,28330240,432.0153097808361,0.6417702620715967
transformer_blocks.15.attn,28,28330240,431.6133362352848,0.6803502388564604
transformer_blocks.21.attn,28,28330240,427.10844653844833,0.7252410767333848
transformer_blocks.13.attn,28,28330240,425.8424479365349,0.7551363729206579
transformer_blocks.14.attn,28,28330240,425.040626898408,0.6563566093599158
transformer_blocks.12.attn,28,28330240,423.7527792453766,0.6898582342213818
transformer_blocks.18.attn,28,28330240,423.1019857227802,0.71031422114798
transformer_blocks.20.attn,28,28330240,420.4849619567394,0.7011477165589375
transformer_blocks.11.attn,28,28330240,420.0639801323414,0.6359668999378171
transformer_blocks.10.attn,28,28330240,416.78885278105736,0.6302992390202624
transformer_blocks.9.attn,28,28330240,411.0492345392704,0.5731020171993545
transformer_blocks.7.attn,28,28330240,409.7547048330307,0.5539000758102962
transformer_blocks.8.attn,28,28330240,409.4959783554077,0.5641903967729637
transformer_blocks.6.attn,28,28330240,404.94717648625374,0.5318908127290862
transformer_blocks.22.attn,28,28330240,403.2362103462219,0.7346174235322646
transformer_blocks.5.attn,28,28330240,394.8090534210205,0.5103456705276456
transformer_blocks.4.attn,28,28330240,390.134931832552,0.5030406026967934
transformer_blocks.3.attn,28,28330240,368.6675643920898,0.5431403086653778
transformer_blocks.2.attn,28,28330240,347.01023226976395,0.519783787961517
transformer_blocks.23.attn,26,25969408,322.44073145487346,0.6869704892429022
transformer_blocks.1.attn,28,28330240,303.6134445518255,0.6350625545850822
transformer_blocks.0.attn,28,28330240,301.5615810751915,0.609208021312952
transformer_blocks.12.attn2,28,28330240,272.1185146868229,0.5904809071549347
transformer_blocks.7.attn2,28,28330240,247.35695588588715,0.5006031202418464
transformer_blocks.11.attn2,28,28330240,244.75702327489853,0.5070959078148007
transformer_blocks.8.attn2,28,28330240,244.00750988721848,0.4943451029913766
transformer_blocks.5.attn2,28,28330240,238.92795711755755,0.5528689995408058
transformer_blocks.10.attn2,28,28330240,223.80299520492557,0.4297953354460852
transformer_blocks.3.attn2,28,28330240,223.3597885966301,0.4561659927879061
transformer_blocks.6.attn2,28,28330240,219.4019546508789,0.5620010053472859
transformer_blocks.4.attn2,28,28330240,215.89535918831825,0.4834136467959199
transformer_blocks.9.attn2,28,28330240,196.71975845098493,0.4637660189930881
transformer_blocks.1.attn2,28,28330240,187.9047164916992,0.5850236761782851
transformer_blocks.21.ff,6,18943488,172.04652386903763,0.5870941480000814
transformer_blocks.19.ff,6,18943488,171.03033459186554,0.584366629521052
transformer_blocks.20.ff,6,18943488,170.74318718910217,0.5586089839537939
transformer_blocks.16.ff,6,18943488,169.839598685503,0.5524538407723109
transformer_blocks.10.ff,6,18943488,169.7674400806427,0.559489314754804
transformer_blocks.22.ff,6,18943488,169.7323585152626,0.5786143243312836
transformer_blocks.15.ff,6,18943488,169.36509677767754,0.5739063322544098
transformer_blocks.11.ff,6,18943488,169.0984072983265,0.5327302267154058
transformer_blocks.13.ff,6,18943488,168.78429505228996,0.5305333187182745
transformer_blocks.14.ff,6,18943488,168.74355375766754,0.5728424489498138
transformer_blocks.12.ff,6,18943488,168.36231064796448,0.5357254594564438
transformer_blocks.17.ff,6,18943488,167.1298404633999,0.5542867680390676
transformer_blocks.18.ff,6,18943488,166.97923356294632,0.6099445472160975
transformer_blocks.9.ff,6,18943488,166.96675658226013,0.5056186467409134
transformer_blocks.8.ff,6,18943488,166.62215599417686,0.4991054584582646
transformer_blocks.7.ff,6,18943488,165.95726361870766,0.4798144201437632
transformer_blocks.6.ff,6,18943488,165.7402746975422,0.4811473960677783
transformer_blocks.5.ff,6,18943488,165.46150514483452,0.489262027045091
transformer_blocks.4.ff,6,18943488,163.39326998591423,0.5216783930857977
transformer_blocks.3.ff,6,18943488,161.45310562849045,0.5787903616825739
transformer_blocks.2.ff,6,18943488,156.76132345199585,0.6736014286677042
transformer_blocks.13.ff_context,4,18882048,152.7617551088333,0.4103244245052337
transformer_blocks.12.ff_context,4,18882048,152.08336520195007,0.4076628610491752
transformer_blocks.2.attn2,28,28330240,151.12860441207886,0.4852371034877641
transformer_blocks.16.ff_context,4,18882048,148.5577143728733,0.4877788722515106
transformer_blocks.10.ff_context,4,18882048,148.2535336315632,0.3863927833735943
transformer_blocks.14.ff_context,4,18882048,147.2827839255333,0.4446306005120277
transformer_blocks.11.ff_context,4,18882048,146.7827145755291,0.3793755397200584
transformer_blocks.8.ff_context,4,18882048,145.23096153140068,0.3755389489233494
transformer_blocks.0.attn2,28,28330240,143.79055801033974,0.5019783042371273
transformer_blocks.23.ff,6,18943488,139.29333192110062,0.8822397987047831
transformer_blocks.9.ff_context,4,18882048,135.81378090381622,0.3538639694452286
transformer_blocks.7.ff_context,4,18882048,134.13529005646706,0.3660630285739898
transformer_blocks.0.ff_context,4,18882048,131.52038437128067,0.462278313934803
transformer_blocks.6.ff_context,4,18882048,131.31055235862732,0.3537779785692692
transformer_blocks.1.ff,6,18943488,129.8464471101761,0.7218079815308253
transformer_blocks.19.ff_context,4,18882048,127.65978795289992,0.683457538485527
transformer_blocks.17.ff_context,4,18882048,124.84106943011284,0.7467874363064766
transformer_blocks.5.ff_context,4,18882048,123.12713512778282,0.3390827104449272
transformer_blocks.2.ff_context,4,18882048,121.13911166787148,0.3604412078857422
transformer_blocks.4.ff_context,4,18882048,118.3063685297966,0.3380710408091545
transformer_blocks.3.ff_context,4,18882048,105.64271584153175,0.3313542455434799
transformer_blocks.0.ff,6,18943488,85.21993815898895,0.7244585305452347
transformer_blocks.1.ff_context,4,18882048,72.72831284999847,0.3369190618395805
transformer_blocks.22.norm1,2,14164992,41.345070123672485,0.3128495961427688
transformer_blocks.15.ff_context,4,18882048,40.61863984167576,0.5554433092474937
transformer_blocks.18.ff_context,4,18882048,39.74959523975849,0.6496908515691757
transformer_blocks.1.norm1,2,21247488,37.74027967453003,0.6807666122913361
transformer_blocks.23.norm1,2,14164992,35.33938527107239,0.3970237448811531
transformer_blocks.0.norm1,2,21247488,34.93838119506836,0.5862848460674286
transformer_blocks.21.norm1,2,14164992,34.913071632385254,0.26817212626338
transformer_blocks.3.norm1,2,21247488,34.47438144683838,0.5238517820835114
transformer_blocks.2.norm1,2,21247488,33.28289175033569,0.5347112119197845
transformer_blocks.4.norm1,2,21247488,32.33822858333588,0.509773388504982
transformer_blocks.12.norm1,2,21247488,32.313212394714355,0.4524537622928619
transformer_blocks.20.norm1,2,14164992,31.896942615509037,0.2937730997800827
transformer_blocks.5.norm1,2,21247488,31.372053384780884,0.4921832978725433
transformer_blocks.8.norm1,2,21247488,30.93549859523773,0.4842505604028702
transformer_blocks.7.norm1,2,21247488,30.912680864334103,0.4946256726980209
transformer_blocks.6.norm1,2,21247488,30.782358527183533,0.5024430900812149
transformer_blocks.19.norm1,2,14164992,30.30665123462677,0.3130020946264267
transformer_blocks.11.norm1,2,21247488,30.150285840034485,0.4610459059476852
transformer_blocks.0.norm1_context,2,14164992,30.03853464126587,0.3748463988304138
transformer_blocks.10.norm1,2,21247488,29.24001407623291,0.4562569856643677
transformer_blocks.17.norm1,2,14164992,28.947388529777527,0.3543346896767616
transformer_blocks.9.norm1,2,21247488,28.44548881053925,0.4416864663362503
transformer_blocks.13.norm1,2,14164992,28.221951723098755,0.4275267720222473
transformer_blocks.16.norm1,2,14164992,27.93389844894409,0.3938208222389221
transformer_blocks.14.norm1,2,14164992,27.883092045784,0.4022508040070534
transformer_blocks.18.norm1,2,14164992,27.602354884147644,0.3283310756087303
transformer_blocks.15.norm1,2,14164992,26.775700092315677,0.4134281277656555
transformer_blocks.14.norm1_context,2,14164992,26.021277904510494,0.2370833232998848
transformer_blocks.16.norm1_context,2,14164992,25.91921806335449,0.1955528259277343
transformer_blocks.13.norm1_context,2,14164992,24.19452667236328,0.1984658688306808
transformer_blocks.12.norm1_context,2,14164992,23.740391492843628,0.2084725350141525
transformer_blocks.22.ff_context,4,18882048,23.365207821130756,0.3183702826499939
transformer_blocks.20.ff_context,4,18882048,23.316611871123317,0.4078906551003456
transformer_blocks.9.norm1_context,2,14164992,22.953547477722168,0.2883260995149612
transformer_blocks.2.norm1_context,2,14164992,22.707783937454224,0.3744371384382248
transformer_blocks.11.norm1_context,2,14164992,22.489076852798465,0.2176515460014343
transformer_blocks.6.norm1_context,2,14164992,22.465428113937374,0.3396821618080139
transformer_blocks.7.norm1_context,2,14164992,22.397379636764526,0.3091153800487518
transformer_blocks.1.norm1_context,2,14164992,22.39129614830017,0.3078831434249878
transformer_blocks.5.norm1_context,2,14164992,22.085575342178345,0.3533554077148437
transformer_blocks.4.norm1_context,2,14164992,21.88358783721924,0.3353742808103561
transformer_blocks.10.norm1_context,2,14164992,21.775080919265747,0.2346495613455772
transformer_blocks.19.norm1_context,2,14164992,21.66883492469788,0.2083536386489868
transformer_blocks.8.norm1_context,2,14164992,21.40398478507996,0.2519809007644653
transformer_blocks.17.norm1_context,2,14164992,20.74394798278809,0.2421171516180038
transformer_blocks.3.norm1_context,2,14164992,20.735284566879272,0.3350570350885391
transformer_blocks.21.ff_context,4,18882048,20.301415495574474,0.3517626002430916
transformer_blocks.15.norm1_context,2,14164992,19.638457775115967,0.2449108660221099
transformer_blocks.18.norm1_context,2,14164992,16.156043529510498,0.223633773624897
transformer_blocks.20.norm1_context,2,14164992,14.72381043434143,0.2519376650452614
transformer_blocks.22.norm1_context,2,14164992,13.816010355949402,0.3844783008098602
transformer_blocks.21.norm1_context,2,14164992,13.114166259765623,0.2960226237773895
transformer_blocks.23.norm1_context,2,4721664,10.344377934932709,0.4608158767223358
proj_out.bias,1,64,0.0,0.0
norm_out.linear.bias,1,3072,0.0,0.0
norm_out.linear.weight,1,4718592,0.0,0.0
pos_embed.pos_embed,1,226492416,0.0,0.0
pos_embed.proj.bias,1,1536,0.0,0.0
pos_embed.proj.weight,1,98304,0.0,0.0
time_text_embed.text_embedder.linear_1,2,3147264,0.0,0.0
proj_out.weight,1,98304,0.0,0.0
time_text_embed.text_embedder.linear_2,2,2360832,0.0,0.0
time_text_embed.timestep_embedder.linear_1,2,394752,0.0,0.0
time_text_embed.timestep_embedder.linear_2,2,2360832,0.0,0.0
context_embedder.weight,1,6291456,0.0,0.0
context_embedder.bias,1,1536,0.0,0.0
